# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20200201;110;0;0;0;0;0
240;20200201;90;0;0;0;0;0
240;20200201;100;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200201;100;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200201;120;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200202;100;0;0;0;0;0
240;20200202;80;0;0;0;0;0
240;20200202;70;0;0;0;0;0
240;20200202;60;0;0;0;0;0
240;20200202;50;0;0;0;0;0
240;20200202;50;0;0;0;0;0
240;20200202;40;1;0;0;0;0
240;20200202;30;1;0;0;0;0
240;20200202;30;1;0;0;0;0
240;20200202;30;1;0;0;0;0
240;20200202;40;1;0;0;0;0
240;20200202;40;1;0;0;0;0
240;20200202;40;1;0;0;0;0
240;20200202;120;1;0;0;0;0
240;20200202;110;0;0;0;0;0
240;20200202;110;0;0;0;0;0
240;20200202;80;1;0;0;0;0
240;20200202;50;1;0;0;0;0
240;20200202;100;0;0;0;0;0
240;20200202;100;0;0;0;0;0
240;20200202;90;0;0;0;0;0
240;20200202;80;0;0;0;0;0
240;20200202;100;0;0;0;0;0
240;20200202;110;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;110;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;100;0;0;0;0;0
240;20200203;90;0;0;0;0;0
240;20200203;80;0;0;0;0;0
240;20200203;70;0;0;0;0;0
240;20200203;70;0;0;0;0;0
240;20200203;50;0;0;0;0;0
240;20200203;50;1;0;0;0;0
240;20200203;40;1;0;0;0;0
240;20200203;40;0;0;0;0;0
240;20200203;50;0;0;0;0;0
240;20200203;80;0;0;0;0;0
240;20200203;90;1;0;0;0;0
240;20200204;90;0;0;0;0;0
240;20200204;90;0;0;0;0;0
240;20200204;90;1;0;0;0;0
240;20200204;110;0;0;0;0;0
240;20200204;100;0;0;0;0;0
240;20200204;80;1;0;0;0;0
240;20200204;110;1;0;0;0;0
240;20200204;100;1;0;0;0;0
240;20200204;80;1;0;0;0;0
240;20200204;90;1;0;0;0;0
240;20200204;100;1;0;0;0;0
240;20200204;90;1;0;0;0;0
240;20200204;100;1;0;0;0;0
240;20200204;90;1;0;0;0;0
240;20200204;90;1;0;0;0;0
240;20200204;70;1;0;0;0;0
240;20200204;30;1;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200204;40;0;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200204;30;0;0;0;0;0
240;20200205;20;0;0;0;0;0
240;20200205;20;0;0;0;0;0
240;20200205;20;0;0;0;0;0
240;20200205;20;0;0;0;0;0
240;20200205;10;0;0;0;0;0
